time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
9.2,7.83051,-3.77816,0.162134,0.383269,0.205019,0.343464,-2.10894,1
9.3,7.84774,-3.73811,0.182475,0.417711,0.203407,0.34442,-2.10426,1
9.4,7.86689,-3.69456,0.200689,0.453324,0.182136,0.356127,-2.04355,1
9.5,7.88766,-3.64735,0.214612,0.490823,0.139231,0.374986,-1.92632,1
9.6,7.90948,-3.5963,0.221858,0.530161,0.072461,0.393382,-1.75295,1
9.7,7.93158,-3.54128,0.220034,0.570119,-0.0182383,0.399584,-1.52518,1
9.8,7.95294,-3.48238,0.207298,0.608037,-0.127366,0.379181,-1.24674,1
9.9,7.97247,-3.41998,0.183197,0.639962,-0.241002,0.319246,-0.924162,1
10,7.9891,-3.35491,0.149466,0.66146,-0.337316,0.214984,-0.567422,1
10.1,8.00208,-3.28838,0.110186,0.669014,-0.392804,0.0755342,-0.189976,1
10.2,8.01114,-3.22186,0.0709212,0.661378,-0.392644,-0.0763612,0.192082,1
10.3,8.01654,-3.15679,0.0370683,0.640071,-0.338529,-0.213069,0.561754,1
10.4,8.01901,-3.09435,0.0123075,0.608656,-0.247607,-0.314151,0.903304,1
10.5,8.01952,-3.03536,-0.00203475,0.571315,-0.143423,-0.373403,1.20407,1
10.6,8.01909,-2.98021,-0.00664234,0.531582,-0.0460758,-0.397337,1.45535,1
10.7,8.01859,-2.92905,-0.00339223,0.491714,0.0325011,-0.398677,1.65214,1
10.8,8.01869,-2.88183,0.00539301,0.452691,0.0878524,-0.390233,1.79223,1
10.9,8.01982,-2.83846,0.0173761,0.414528,0.119831,-0.381629,1.87505,1
11,8.02156,-2.79701,0.0173761,0.414528,0,-0,1.90059,0
11.1,8.0233,-2.75556,0.0173761,0.414528,0,-0,1.89538,0
11.2,8.02504,-2.71411,0.0173761,0.414528,0,-0,1.88596,0
11.3,8.02678,-2.67265,0.0173761,0.414528,0,-0,1.87225,0
11.4,8.02851,-2.6312,0.0173761,0.414528,0,-0,1.85421,0
11.5,8.03025,-2.58975,0.0173761,0.414528,0,-0,1.83182,0
11.6,8.03199,-2.5483,0.0173761,0.414528,0,-0,1.8051,0
11.7,8.03373,-2.50684,0.0173761,0.414528,0,-0,1.77413,0
11.8,8.03546,-2.46539,0.0173761,0.414528,0,-0,1.73897,0
11.9,8.0372,-2.42394,0.0173761,0.414528,0,-0,1.69975,0
12,8.03894,-2.38248,0.0173761,0.414528,0,-0,1.65662,0
12.1,8.04068,-2.34103,0.0173761,0.414528,0,-0,1.60972,0
12.2,8.04241,-2.29958,0.0173761,0.414528,-0,-0,1.55924,0
12.3,8.04415,-2.25813,0.0173761,0.414528,-0,-0,1.50539,0
12.4,8.04589,-2.21667,0.0173761,0.414528,-0,-0,1.44836,0
12.5,8.04763,-2.17522,0.0173761,0.414528,-0,-0,1.38838,0
12.6,8.04936,-2.13377,0.0173761,0.414528,-0,-0,1.32568,0
12.7,8.0511,-2.09231,0.0173761,0.414528,-0,-0,1.26049,0
12.8,8.0521,-2.05272,0.00262267,0.377348,-0.147534,-0.371798,1.19304,1
12.9,8.05145,-2.01676,-0.0157087,0.341796,-0.183314,-0.355522,1.09473,1
13,8.04869,-1.9842,-0.0393537,0.309532,-0.23645,-0.322632,0.938345,1
